date,rf,mkt_rf,smb,hml,mom
2019-09-05,0.00000484,0.00221059,0.00066464,0.00192510,-0.00538783
2019-09-08,0.00001412,0.00568079,0.00403147,-0.00201296,-0.00727294
2019-09-09,0.00000465,0.00074842,0.00148820,-0.00089926,-0.00041662
2019-09-10,0.00000471,0.00093682,0.00163872,-0.00121656,-0.01728970
2019-09-11,0.00000476,0.00825406,0.00022116,0.01060700,-0.01052922
2019-09-12,0.00000482,0.00509866,0.00096710,0.00267731,-0.00659934
2019-09-15,0.00001464,-0.00206352,-0.00050071,-0.00219905,0.00514709
2019-09-16,0.00000506,-0.00131227,-0.00192507,-0.00196666,-0.00398489
2019-09-18,0.00001039,0.00413683,-0.00416863,0.00157761,0.00827351
2019-09-19,0.00000395,0.00355619,-0.00631703,0.00135474,0.00701816
2019-09-22,0.00001600,-0.00430091,-0.00342516,-0.00046148,0.00824229
2019-09-23,0.00000556,0.00005232,-0.00600541,0.00481585,-0.00589706
2019-09-24,0.00000564,0.00409376,-0.00109689,0.00256635,-0.00231355
2019-09-25,0.00000429,-0.00140194,0.00115101,0.00987151,-0.00071583
2019-09-26,0.00000435,0.00743876,0.00375192,-0.00005163,0.00270501
2019-10-02,0.00002647,-0.00756514,-0.01056831,0.00529388,0.00031599
2019-10-03,0.00000323,-0.00811087,-0.00120898,-0.00556631,-0.00254868
2019-10-06,0.00001968,0.01415626,0.00004025,-0.00770326,0.00154621
2019-10-07,0.00000656,0.00142136,0.00344232,-0.00239967,0.00413714
2019-10-10,0.00001968,0.00146350,-0.00141801,0.00565128,0.00922514
2019-10-15,0.00002248,0.01233141,-0.00497361,0.00117039,0.00325913
2019-10-16,0.00000595,0.01066602,0.00160017,0.00677743,-0.00422167
2019-10-17,0.00000482,0.00098424,0.00402792,0.00675804,0.00054375
2019-10-22,0.00003050,0.00255677,0.00770569,-0.00055518,0.00082139
2019-10-23,0.00000520,-0.00342497,-0.00459962,0.00060604,0.00327314
2019-10-24,0.00000395,0.00132761,0.00277492,-0.00099677,0.00631560
2019-10-27,0.00002001,0.00526923,-0.00099616,-0.00642559,0.02317598
2019-10-28,0.00000695,0.00305667,0.00483130,-0.00228444,0.00009827
2019-10-29,0.00000423,-0.00211424,-0.00115056,0.00028525,-0.00043148
2019-10-30,0.00000572,-0.00446493,0.00019921,-0.00063694,0.00666545
2019-10-31,0.00000580,0.00122622,0.00279652,-0.00228116,-0.00111300
2019-11-03,0.00001765,0.00793898,-0.00349956,-0.00562087,-0.00517733
